subjCode,workerId,assignmentId,hitId,category,expTimer,response,trial_number,rt
subjCode,workerId,assignmentId,hitId,lawnmower,14.334,asdf,1,10974
subjCode,workerId,assignmentId,hitId,hairbrush,22.382,asdf,2,8036
subjCode,workerId,assignmentId,hitId,bongo,21.873,a,1,19046
subjCode,workerId,assignmentId,hitId,trumpet,23.127,a,2,1246
subjCode,workerId,assignmentId,hitId,jack-o-lantern,23.387,a,3,251
subjCode,workerId,assignmentId,hitId,bagel,23.639,a,4,242
subjCode,workerId,assignmentId,hitId,dumbbell,23.839,a,5,191
subjCode,workerId,assignmentId,hitId,hourglass,24.424,a,6,562
subjCode,workerId,assignmentId,hitId,boot,24.649,a,7,216
subjCode,workerId,assignmentId,hitId,button,24.868,a,8,208
subjCode,workerId,assignmentId,hitId,christmastreeornamantball,25.44,a,9,562
subjCode,workerId,assignmentId,hitId,ceilingfan,25.646,a,10,197
subjCode,workerId,assignmentId,hitId,juice,26.239,a,11,585
subjCode,workerId,assignmentId,hitId,umbrella,26.674,a,12,427
subjCode,workerId,assignmentId,hitId,abacus,27.202,a,13,521
subjCode,workerId,assignmentId,hitId,mask,27.537,a,14,327
subjCode,workerId,assignmentId,hitId,cheese,27.871,a,15,326
subjCode,workerId,assignmentId,hitId,bowl,28.186,a,16,307
subjCode,workerId,assignmentId,hitId,babycarriage,28.535,a,17,337
subjCode,workerId,assignmentId,hitId,domino,28.878,a,18,333
subjCode,workerId,assignmentId,hitId,camcorder,29.313,a,19,425
subjCode,workerId,assignmentId,hitId,meat,29.556,a,20,233
subjCode,workerId,assignmentId,hitId,desk,30.491,a,21,916
subjCode,workerId,assignmentId,hitId,telescope,30.923,a,22,424
subjCode,workerId,assignmentId,hitId,watch,31.316,a,23,384
subjCode,workerId,assignmentId,hitId,crib,31.679,a,24,352
subjCode,workerId,assignmentId,hitId,bearteddy,32.149,a,25,459
subjCode,workerId,assignmentId,hitId,headphone,32.392,a,26,233
subjCode,workerId,assignmentId,hitId,rosary,33.495,aa,27,1085
subjCode,workerId,assignmentId,hitId,bathsuit,33.956,a,28,453
subjCode,workerId,assignmentId,hitId,dresser,34.433,a,29,469
subjCode,workerId,assignmentId,hitId,fan,34.705,a,30,263
subjCode,workerId,assignmentId,hitId,lock,35.09,a,31,376
subjCode,workerId,assignmentId,hitId,goggle,35.47,a,32,357
subjCode,workerId,assignmentId,hitId,knife,35.823,a,33,344
subjCode,workerId,assignmentId,hitId,licenseplate,36.143,a,34,312
subjCode,workerId,assignmentId,hitId,pitcher,36.509,a,35,355
subjCode,workerId,assignmentId,hitId,pants,36.906,a,36,388
subjCode,workerId,assignmentId,hitId,handbag,37.577,a,37,664
subjCode,workerId,assignmentId,hitId,socks,38.147,a,38,561
